word classification correct_class 
fighting Unk EXG 
keyboards Unk CON 
ginger Unk CON 
screwed EPS EXS 
man-made Unk IST 
yakuza Unk CON 
mafia Unk CON 
fears Unk ENS 
Bountiful Unk ART 
1 Unk DOM 
Pierce Unk PER 
Rossville~Blvd Unk GEO 
Grameen~Bank Unk ORG 
and COO AND 
It PRO NIL 
memorize Unk EXS 
Think Unk EXS 
mommy Unk ROL 
little IST QUV 
like EXS IST 
is ENS NOW 
a DIS QUC 
head CON UOM 
good-bye Unk CON 
Oil Unk CON 
is NOW ENS 
remember Unk EXS 
check Unk CON 
customer Unk ROL 
is NOW NIL 
three CLO QUC 
Nice Unk IST 
have ENS NEC 
parking~metres Unk CON 
opening Unk EXG 
rainbow Unk CON 
to REL NIL 
mow Unk EXS 
is ENS NOW 
nonsense CON IST 
seedless Unk IST 
watermelons Unk CON 
exist Unk EXS 
network Unk CON 
shooting EXG CON 
ceased Unk EXT 
Kerensky Unk PER 
fled EPS EXT 
boy-scouts Unk ROL 
jeered Unk EPS 
and GRP COO 
scuttled Unk EPS 
1922 Unk YOC 
, REL NIL 
Produits~Chimiques~Bozel~Lamotte Unk ORG 
Kohl Unk PER 
economy Unk CON 
measures ENS CON 
height Unk CON 
redwood Unk CON 
directed EXS EPS 
Fail~Safe Unk LIT 
health~insurance Unk CON 
Jerry~Garcia Unk PER 
shrugged Unk EPS 
Corsairfly Unk ORG 
based EXS IST 
is ENS NOW 
fakir Unk ROL 
absent-minded Unk IST 
violence Unk CON 
rinsing Unk EXG 
burnt Unk EXT 
disrespectful Unk IST 
opening Unk EXG 
visibly Unk INT 
shaken Unk IST 
gifted Unk IST 
Curtis Unk PER 
paint Unk CON 
're ENS NOW 
plucky Unk IST 
's ENS NOW 
deserve Unk ENS 
left IST EPS 
fanned Unk EPS 
Coffee Unk CON 
served EPS EXS 
is NOW FUT 
assume Unk EXS 
Wood CON PER 
like EXS IST 
Packing Unk EXG 
How QUE EMP 
are ENS NOW 
that DST AND 
agriculture Unk CON 
carefully Unk IST 
remark Unk CON 
befit Unk EXS 
'd~better Unk NEC 
stupidity Unk CON 
abysmal Unk IST 
detest Unk ENS 
each~other Unk REF 
Tom PER LIT 
common Unk IST 
got EPS EXT 
Hyogo~University Unk ORG 
phoned Unk EPS 
trauma Unk CON 
supported Unk EPS 
snoring Unk EXG 
good IST DEG 
dialled Unk EPS 
assistants Unk ROL 
regard Unk EXS 
clean EXS IST 
be EXS NIL 
one CON QUC 
fast DEG IST 
cube~root Unk CON 
gullible Unk IST 
try Unk EXS 
grinning Unk EXG 
survived Unk EPS 
method Unk CON 
be EXS NIL 
practical Unk IST 
reveled Unk EPS 
dancing EXG CON 
Kobe~University Unk ORG 
unkind Unk IST 
hope CON ENS 
state-of-the-art Unk IST 
equipment Unk CON 
abated Unk EPS 
let EXS EPS 
buds Unk CON 
blast Unk CON 
prepared EXT IST 
's ENS NOW 
surface CON ENS 
a~lot Unk QUV 
volunteered Unk EPS 
and GRP AND 
station~wagon Unk CON 
obvious Unk IST 
part CON NIL 
her HAS PRO 
often Unk QUV 
manipulative Unk IST 
answer CON EXS 
questions Unk CON 
live EXS IST 
drowning Unk EXG 
hope CON ENS 
shouting Unk EXG 
draws Unk ENS 
hugging Unk EXG 
prefer ENS EXS 
Belgian Unk GPO 
slowly Unk IST 
which QUE REL 
spreading Unk EXG 
mustard Unk CON 
Tycho~Brahe Unk PER 
benefited Unk EPS 
greatly INT IST 
Fredrik Unk PER 
's NOW HAS 
generous Unk IST 
support EXS CON 
courteous Unk IST 
Haruki~Murakami Unk PER 
Alas Unk ITJ 
oversimplifies Unk ENS 
ending Unk CON 
is ENS NOW 
impossible LIT IST 
! NIL EMP 
paralyzed Unk IST 
hornet Unk CON 
commercial Unk CON 
well IST CON 
Sally Unk PER 
uncertain Unk IST 
leopard Unk CON 
make Unk EXS 
sense Unk NIL 
coherent Unk IST 
serpent Unk CON 
tempted Unk EPS 
Eve Unk PER 
to REL NIL 
paint Unk EXS 
bright~blue Unk COL 
lie EXS ENS 
old DEG IST 
fox CON ROL 
decapitated Unk IST 
coroner Unk ROL 
predicted Unk EXT 
roads Unk CON 
lead EXS ENS 
Speak Unk EXS 
loose Unk IST 
Sendai Unk GPE 
really INT EMP 
Man Unk CON 
6000 Unk QUC 
chirping Unk EXG 
volleyball~player Unk ROL 
hang ENS EXS 
800,000 Unk QUC 
Basque Unk CON 
speakers CON ROL 
times UOM CON 
actually Unk IST 
back CON IST 
5~o'clock Unk CLO 
praying Unk EXG 
Band-Aid Unk CON 
engaged IST EXS 
rough Unk IST 
Warn Unk EXS 
get EXS ENS 
tour Unk CON 
is NOW NIL 
going EXG FUT 
to REL NIL 
amazing Unk IST 
You PRO AND 
stamps Unk CON 
any DIS AND 
banks Unk CON 
murder CON EXS 
saving Unk EXG 
so~that Unk SUB 
colors Unk CON 
tulips Unk CON 
creamy Unk IST 
mushroom Unk CON 
honked Unk EPS 
truth Unk CON 
admire Unk ENS 
talent Unk CON 
and GRP COO 
if SUB DIS 
Baena~Soares Unk PER 
armed~forces Unk CON 
Reform Unk CON 
allows Unk ENS 
schooling Unk CON 
Berlin~Wall Unk ART 
Finishing Unk EXG 
A AND DIS 
smell ENS CON 
lilies Unk CON 
has NOW ENS 
equipment Unk CON 
is NOW ENS 
Japanese GPO CON 
resigned EPS EXT 
surpass Unk EXS 
wrinkled IST EPS 
postman Unk ROL 
her PRO HAS 
own EXS REF 
Is ENS NOW 
mine PRO HAS 
Oscar Unk NTH 
was PST EPS 
it PRO NIL 
heartbroken Unk IST 
canary Unk CON 
dark CON IST 
doorway Unk CON 
South~African Unk GPE 
